SITIO;PROYECTADO;NOMBRE;NOMBRE ZONA;NOMBRE SALA;Filas Nombre;DISPOSITIVO;Dispositivo ID;IP;Estado;MARCA;MODELO;Clase;Agrupador;Función;Contexto;Parent;Vigencia Baja;Vigencia Fecha Desde Date;Vigencia Fecha Hasta Date;Fecha Foto Date;Assettag;Fecha Carga Date;Fecha Instalación Date;Fecha Ultima Modificación Date;Fecha Descubrimiento Date;Fecha Auditoría Date;CLASIFICACION EDIFICIO;PROVINCIA;REGION;SUB REGION
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Energia;;;ARBBSUA_SEA0001_TTA_A1_EXE_1;864232;10.100.184.131;Operativo;Exemys;SSE232;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;60a2aff34bf41852500635;2021-05-17;2021-05-17;2024-01-10;;2022-10-06;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Energia;;;ARBBSUA_SEA0001_UPS_A;237855;10.100.184.134;Operativo;VERTIV;Liebert APM 150;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b50caa9f3a21;1969-12-31;2018-07-19;2024-09-24;;2021-06-30;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Energia;;;ARBBSUA_SEA0001_UPS_B;237857;10.100.184.135;Operativo;VERTIV;Liebert APM 150;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b50cc595057a;1969-12-31;2018-07-19;2024-09-24;;2021-06-30;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Objetivo;;;ARBBSUA_SOB0001_AIX_X1;485999;10.100.184.136;Operativo;CLIMAVENETA;CRCX-I 0121;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5e9dbb1817519;1969-12-31;2020-09-10;2024-09-24;;2020-09-10;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Objetivo;;;ARBBSUA_SOB0001_AIX_X2;486000;10.100.184.137;Operativo;CLIMAVENETA;CRCX-I 0121;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5e9dbc9674a14;1969-12-31;2020-09-10;2024-09-24;;2020-09-10;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUA;ARBBSUA;CNEL SUAREZ;1P_Sala Objetivo;;Fila BD;ARBBSUA_SOB0001_AKC_1_AA06_12;235939;10.100.184.130;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;6738371a018c1883550318;2019-12-20;2024-11-16;2024-11-16;2020-11-20;1900-01-02;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SUZ;ARBBSUZ;CORONEL SUAREZ;Sala de racks;;;ARBBSUZ_SRG0001_AKC_1;1190551;10.217.26.88;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-26;9999-01-02;2024-11-27;6308bee24af7c958833230;2022-08-26;2023-01-03;2024-01-11;;1900-01-02;EDIFICIO HUB;BUENOS AIRES;4 PBA Y PATAGONIA;43 PBA COSTA
SVC;ARXXSVC;SAN VICENTE  - CBA;Sala de Grupo Electrógeno - 01SS;;;ARXXSVC Sala de Grupo Electrogeno - 01SS GEN X1;1116754;10.217.0.133;Operativo;CUMMINS;C550 D5 INDOOR;GRUPO ELECTROGENO CON RADIADOR INCORPORADO;GRUPO ELECTROGENO;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;6254218f98441405681022;2022-04-11;2021-11-11;2024-08-27;;2022-05-30;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
SVC;ARXXSVC;SAN VICENTE  - CBA;Sala de Fuerza - 00PA;;;ARXXSVC_SEA0001_PCC_X1;887547;10.217.3.3;Operativo;VERTIV;Netsure 7100 - Semibulk XL;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;60de1a4683750399617699;2021-07-01;2022-04-19;2023-05-08;;2022-05-31;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
SVC;ARXXSVC;SAN VICENTE  - CBA;Sala de Fuerza - 00PA;;UPS_A_SAN_VICENTE;ARXXSVC_SEA0001_UPS_A1;589998;10.217.0.134;Operativo;VERTIV;Liebert APM 150;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5fa15ef201301;1969-12-31;2020-11-03;2022-05-31;;2022-05-31;EDIFICIO HUB;CORDOBA;2 MEDITERRANEA;22 GRAN CORDOBA
